Timestamp,How old are you?,Gender,Country,Knowledge_on_wine,Hard_liquor,Drink_wine,Purchase_wine,Factors,Alcohol_percentage,Importance_of_price,Price_range,Importance_of_wine_region,Wine_region,Characteristics,Label,Most_important_factor,Food_pairing,Recommendation,No_of_wines
17/09/2022 22:34:04,46- 60,Male,South Asia,3,Yes,Few times a month,Few times a year,"Wine style (red, white, etc.), Price, sweetness ",Disagree,4,Less than  5 000  (14 USD),No,,Often,Always,Taste,Often,Agree,
17/09/2022 22:37:48,31 - 45,Female,South Asia,2,No,Few times a year,Few times a year,Price,Neutral,5,Less than  5 000  (14 USD),Yes,"Italy, France",Rarely,Always,Price,Rarely,Neutral,
18/09/2022 00:06:52,above 60,Female,North America,3,Yes,Few times a year,Few times a year,"Wine style (red, white, etc.), Wine’s maturity (age), Price, Type of grapes",Strongly disagree,5,Less than  5 000  (14 USD),Yes,USA,Always,Often,Taste,Often,Neutral,
18/09/2022 03:15:28,31 - 45,Male,South Asia,4,Yes,Few times a month,Few times a year,"Wine style (red, white, etc.), Wine region, Price, Taste pallet",Disagree,4,5 000 - 10 000 (14 USD - 28 USD),Yes,"Italy, France, South Africa",Always,Always,Taste,Often,Agree,
18/09/2022 04:18:11,31 - 45,Female,Australia,1,Yes,Few times a year,Few times a year,"Wine style (red, white, etc.)",Agree,3,5 000 - 10 000 (14 USD - 28 USD),No,,Often,Rarely,Taste,Rarely,Agree,
18/09/2022 05:04:37,above 60,Female,North America,3,Yes,Few times a month,Few times a month,"Wine style (red, white, etc.)",Disagree,1,10 000 - 15 000 (28 USD - 42 USD),No,,Rarely,Never,Taste,Rarely,Agree,
18/09/2022 05:54:55,46- 60,Female,North America,2,Yes,Few times a year,Few times a week,"Wine style (red, white, etc.)",Agree,3,5 000 - 10 000 (14 USD - 28 USD),No,,Often,Rarely,Taste,Rarely,Neutral,
18/09/2022 06:36:37,31 - 45,Male,South Asia,2,Yes,Few times a year,Few times a year,"Wine style (red, white, etc.), Wine region, Price",Neutral,5,5 000 - 10 000 (14 USD - 28 USD),Yes,"Italy, Australia, South Africa",Always,Often,Taste,Often,Strongly agree,
18/09/2022 06:42:08,31 - 45,Female,South Asia,1,No,Few times a year,Few times a year,"Wine style (red, white, etc.), Price",Neutral,4,10 000 - 15 000 (28 USD - 42 USD),No,,Often,Never,Taste,Often,Agree,
18/09/2022 06:49:47,31 - 45,Male,South Asia,1,Yes,Few times a month,Few times a month,"Alcohol percentage, Price",Agree,4,Less than  5 000  (14 USD),No,,Often,Rarely,Taste,Rarely,Neutral,
18/09/2022 07:05:24,31 - 45,Female,South Asia,3,Yes,Few times a month,Few times a year,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Price",Strongly agree,4,5 000 - 10 000 (14 USD - 28 USD),Yes,"Italy, France, Spain, Germany",Always,Always,Taste,Rarely,Strongly agree,
18/09/2022 07:07:47,above 60,Male,North America,1,No,Few times a year,Few times a year,Price,Neutral,4,5 000 - 10 000 (14 USD - 28 USD),No,,Never,Never,Taste,Rarely,Agree,
18/09/2022 07:48:26,above 60,Female,North America,3,Yes,Few times a week,Few times a month,"Wine style (red, white, etc.)",Neutral,1,Above 20 000 (56 USD),Yes,USA,Often,Often,Taste,Often,Strongly agree,
18/09/2022 08:05:45,31 - 45,Male,Australia,2,No,Few times a year,Few times a year,Wine region,Disagree,1,5 000 - 10 000 (14 USD - 28 USD),No,,Rarely,Often,Wine region,Often,Neutral,
18/09/2022 08:29:28,31 - 45,Male,South Asia,2,Yes,Few times a year,Few times a year,"Wine style (red, white, etc.), Alcohol percentage, Price",Agree,3,Less than  5 000  (14 USD),No,,Often,Rarely,Taste,Never,Agree,
18/09/2022 08:43:20,31 - 45,Female,South Asia,3,No,Few times a year,Few times a year,"Wine style (red, white, etc.), Wine region",Neutral,3,5 000 - 10 000 (14 USD - 28 USD),No,,Always,Often,Taste,Rarely,Agree,
18/09/2022 08:46:20,31 - 45,Male,South Asia,3,Yes,Few times a month,Few times a month,"Wine style (red, white, etc.), Alcohol percentage, Wine’s maturity (age), Price",Neutral,3,Less than  5 000  (14 USD),No,,Always,Always,Taste,Often,Strongly agree,
18/09/2022 09:16:23,18 - 30,Female,South Asia,3,No,Few times a year,Few times a year,"Wine style (red, white, etc.), Wine’s maturity (age), Price",Neutral,4,5 000 - 10 000 (14 USD - 28 USD),No,,Often,Always,Taste,Rarely,Neutral,Less than 5
18/09/2022 10:35:15,31 - 45,Male,Australia,3,Yes,Few times a month,Few times a month,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Wine’s maturity (age)",Agree,2,10 000 - 15 000 (28 USD - 42 USD),Yes,"Italy, France, Australia, Chile",Often,Often,Taste,Often,Strongly agree,6 - 10
18/09/2022 11:16:57,31 - 45,Female,South Asia,4,Yes,Few times a month,Few times a month,"Wine style (red, white, etc.), Wine region, Price, Packaging",Agree,4,10 000 - 15 000 (28 USD - 42 USD),Yes,"Italy, France, Australia, South Africa",Always,Often,Wine region,Often,Agree,21 - 50
18/09/2022 11:26:31,31 - 45,Female,South Asia,1,No,Never,,,,,,,,,,,,,
18/09/2022 11:44:10,31 - 45,Female,Asia excluding South Asia,1,No,Never,,,,,,,,,,,,,
18/09/2022 12:36:47,46- 60,Male,South Asia,1,No,Never,,,,,,,,,,,,,
18/09/2022 12:45:07,18 - 30,Female,South Asia,5,Yes,Few times a week,Few times a month,"Wine style (red, white, etc.), Wine region, Ratings, Alcohol percentage, Wine’s maturity (age)",Strongly agree,1,Above 20 000 (56 USD),Yes,"Italy, France, Spain, Chile, Germany",Always,Often,Wine region,Always,Strongly agree,More than 50
