,How old are you?,Gender,Country,Knowledge_on_wine,Factors,Hard_liquor,Drink_wine,Purchase_wine,Alcohol_percentage,Importance_of_price,Price_range,Importance_of_wine_region,Wine_region,Characteristics,Label,Most_important_factor,Food_pairing,Recommendation,No_of_wines
18/09/2022 07:07:47,above 60,Male,North America,1,Price,No,Few times a year,Few times a year,Neutral,4,5 000 - 10 000 (14 USD - 28 USD),No,,Never,Never,Taste,Rarely,Agree,
18/09/2022 07:48:26,above 60,Female,North America,3,"Wine style (red, white, etc.)",Yes,Few times a week,Few times a month,Neutral,1,Above 20 000 (56 USD),Yes,USA,Often,Often,Taste,Often,Strongly agree,
18/09/2022 08:05:45,31 - 45,Male,Australia,2,Wine region,No,Few times a year,Few times a year,Disagree,1,5 000 - 10 000 (14 USD - 28 USD),No,,Rarely,Often,Wine region,Often,Neutral,
18/09/2022 08:29:28,31 - 45,Male,South Asia,2,"Wine style (red, white, etc.), Alcohol percentage, Price",Yes,Few times a year,Few times a year,Agree,3,Less than  5 000  (14 USD),No,,Often,Rarely,Taste,Never,Agree,
18/09/2022 08:43:20,31 - 45,Female,South Asia,3,"Wine style (red, white, etc.), Wine region",No,Few times a year,Few times a year,Neutral,3,5 000 - 10 000 (14 USD - 28 USD),No,,Always,Often,Taste,Rarely,Agree,
18/09/2022 08:46:20,31 - 45,Male,South Asia,3,"Wine style (red, white, etc.), Alcohol percentage, Wine’s maturity (age), Price",Yes,Few times a month,Few times a month,Neutral,3,Less than  5 000  (14 USD),No,,Always,Always,Taste,Often,Strongly agree,
18/09/2022 09:16:23,18 - 30,Female,South Asia,3,"Wine style (red, white, etc.), Wine’s maturity (age), Price",No,Few times a year,Few times a year,Neutral,4,5 000 - 10 000 (14 USD - 28 USD),No,,Often,Always,Taste,Rarely,Neutral,Less than 5
18/09/2022 10:35:15,31 - 45,Male,Australia,3,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Wine’s maturity (age)",Yes,Few times a month,Few times a month,Agree,2,10 000 - 15 000 (28 USD - 42 USD),Yes,"Italy, France, Australia, Chile",Often,Often,Taste,Often,Strongly agree,6 - 10
18/09/2022 11:16:57,31 - 45,Female,South Asia,4,"Wine style (red, white, etc.), Wine region, Price, Packaging",Yes,Few times a month,Few times a month,Agree,4,10 000 - 15 000 (28 USD - 42 USD),Yes,"Italy, France, Australia, South Africa",Always,Often,Wine region,Often,Agree,21 - 50
18/09/2022 11:26:31,31 - 45,Female,South Asia,1,,No,Never,,,,,,,,,,,,
18/09/2022 11:44:10,31 - 45,Female,Asia excluding South Asia,1,,No,Never,,,,,,,,,,,,
18/09/2022 12:36:47,46- 60,Male,South Asia,1,,No,Never,,,,,,,,,,,,
18/09/2022 12:45:07,18 - 30,Female,South Asia,5,"Wine style (red, white, etc.), Wine region, Ratings, Alcohol percentage, Wine’s maturity (age)",Yes,Few times a week,Few times a month,Strongly agree,1,Above 20 000 (56 USD),Yes,"Italy, France, Spain, Chile, Germany",Always,Often,Wine region,Always,Strongly agree,More than 50
18/09/2022 15:21:52,18 - 30,Male,South Asia,1,"Wine style (red, white, etc.), Ratings, Alcohol percentage, Price",Yes,Few times a year,Never,Agree,4,Less than  5 000  (14 USD),No,,Always,Rarely,Taste,Often,Agree,Less than 5
18/09/2022 17:50:05,31 - 45,Male,South Asia,3,"Wine style (red, white, etc.), Wine region",Yes,Few times a month,Few times a year,Neutral,3,Less than  5 000  (14 USD),Yes,"Italy, France",Rarely,Often,Taste,Often,Agree,Less than 5
18/09/2022 19:35:55,31 - 45,Male,South Asia,3,"Wine style (red, white, etc.), Wine region, Price, Packaging",Yes,Few times a year,Few times a year,Disagree,5,Less than  5 000  (14 USD),No,,Often,Often,Price,Rarely,Neutral,11- 20
18/09/2022 20:15:13,above 60,Female,North America,1,,Yes,Never,,,,,,,,,,,,
18/09/2022 20:34:05,31 - 45,Male,South Asia,2,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Wine’s maturity (age), Price",Yes,Few times a year,Few times a year,Neutral,3,Less than  5 000  (14 USD),No,,Often,Often,Taste,Often,Agree,6 - 10
18/09/2022 20:38:19,31 - 45,Male,South Asia,1,"Wine style (red, white, etc.), Ratings, Price",Yes,Few times a month,Few times a year,Disagree,3,Above 20 000 (56 USD),No,,Never,Often,Vintage,Often,Strongly agree,Less than 5
18/09/2022 20:53:59,46- 60,Female,Europe,3,"Wine style (red, white, etc.)",Yes,Few times a year,Few times a year,Strongly disagree,3,Less than  5 000  (14 USD),No,,Often,Always,Taste,Rarely,Agree,11- 20
18/09/2022 21:12:38,46- 60,Female,Australia,3,"Wine style (red, white, etc.), Wine region, Wine’s maturity (age), Price",No,Few times a year,Few times a year,Neutral,3,10 000 - 15 000 (28 USD - 42 USD),Yes,Australia,Often,Often,Vintage,Often,Neutral,11- 20
18/09/2022 22:49:27,above 60,Female,North America,3,"Wine style (red, white, etc.), Wine region, Ratings, Price",Yes,Few times a year,Few times a year,Strongly disagree,3,5 000 - 10 000 (14 USD - 28 USD),Yes,"Italy, France, Spain, Australia, Germany",Often,Often,Wine region,Never,Strongly agree,11- 20
18/09/2022 22:52:49,above 60,Female,North America,3,"Wine style (red, white, etc.), Wine region, Ratings, Price",Yes,Few times a year,Few times a year,Strongly disagree,3,5 000 - 10 000 (14 USD - 28 USD),Yes,"Italy, France, USA, Spain, Australia, Germany",Often,Often,Price,Never,Strongly agree,11- 20
