"Timestamp","How old are you?","Gender","Where are you from?","How would you rate your knowledge on wine?","Do you like hard liquor ?","How often do you drink wine?","How many different wines have you tried so far?","How often do you purchase wine?","What are the factors you consider before purchasing wine ?","""I consider the alcohol percentage when choosing wine"" 
Do you agree with this statement?","How important is the price when choosing wine?","when you are purchasing  wine, how much do you like to spend per bottle? (prices are given in LKR and approximate USD values are given inside brackets)","Is there a particular wine region that you prefer ? ","Which wine regions do your favorite wines tend to come from ?","How often do you consider the characteristics of the wine such as sweetness, tannin, etc. before choosing  wine?","How often do you read the information on the bottle label before selecting a bottle of wine?","When you're purchasing wine, what is the most important factor that influence your purchase?","How often does your preference between the type of wine (Red, white, rose etc.) change based on the type of food you are eating.","""I would appreciate if someone recommend me a bottle of wine according to my preference""
Do you agree with this statement?"
"2022/09/18 6:36:37 am GMT+5:30","31 - 45","Male","South Asia","2","Yes","Few times a year","","Few times a year","Wine style (red, white, etc.);Wine region;Price","Neutral","5","5 000 - 10 000 (14 USD - 28 USD)","Yes","Italy;Australia;South Africa","Always","Often","Taste","Often","Strongly agree"
"2022/09/18 6:42:08 am GMT+5:30","31 - 45","Female","South Asia","1","No","Few times a year","","Few times a year","Wine style (red, white, etc.);Price","Neutral","4","10 000 - 15 000 (28 USD - 42 USD)","No","","Often","Never","Taste","Often","Agree"
"2022/09/18 6:49:47 am GMT+5:30","31 - 45","Male","South Asia","1","Yes","Few times a month","","Few times a month","Alcohol percentage;Price","Agree","4","Less than  5 000  (14 USD)","No","","Often","Rarely","Taste","Rarely","Neutral"
"2022/09/18 7:05:24 am GMT+5:30","31 - 45","Female","South Asia","3","Yes","Few times a month","","Few times a year","Wine style (red, white, etc.);Wine region;Alcohol percentage;Price","Strongly agree","4","5 000 - 10 000 (14 USD - 28 USD)","Yes","Italy;France;Spain;Germany","Always","Always","Taste","Rarely","Strongly agree"
"2022/09/18 7:07:47 am GMT+5:30","above 60","Male","North America","1","No","Few times a year","","Few times a year","Price","Neutral","4","5 000 - 10 000 (14 USD - 28 USD)","No","","Never","Never","Taste","Rarely","Agree"
"2022/09/18 7:48:25 am GMT+5:30","above 60","Female","North America","3","Yes","Few times a week","","Few times a month","Wine style (red, white, etc.)","Neutral","1","Above 20 000 (56 USD)","Yes","USA","Often","Often","Taste","Often","Strongly agree"
"2022/09/18 8:05:44 am GMT+5:30","31 - 45","Male","Australia","2","No","Few times a year","","Few times a year","Wine region","Disagree","1","5 000 - 10 000 (14 USD - 28 USD)","No","","Rarely","Often","Wine region","Often","Neutral"
"2022/09/18 8:29:27 am GMT+5:30","31 - 45","Male","South Asia","2","Yes","Few times a year","","Few times a year","Wine style (red, white, etc.);Alcohol percentage;Price","Agree","3","Less than  5 000  (14 USD)","No","","Often","Rarely","Taste","Never","Agree"
"2022/09/18 8:43:19 am GMT+5:30","31 - 45","Female","South Asia","3","No","Few times a year","","Few times a year","Wine style (red, white, etc.);Wine region","Neutral","3","5 000 - 10 000 (14 USD - 28 USD)","No","","Always","Often","Taste","Rarely","Agree"
"2022/09/18 8:46:20 am GMT+5:30","31 - 45","Male","South Asia","3","Yes","Few times a month","","Few times a month","Wine style (red, white, etc.);Alcohol percentage;Wine’s maturity (age);Price","Neutral","3","Less than  5 000  (14 USD)","No","","Always","Always","Taste","Often","Strongly agree"
"2022/09/18 9:16:23 am GMT+5:30","18 - 30","Female","South Asia","3","No","Few times a year","Less than 5","Few times a year","Wine style (red, white, etc.);Wine’s maturity (age);Price","Neutral","4","5 000 - 10 000 (14 USD - 28 USD)","No","","Often","Always","Taste","Rarely","Neutral"
